index1.1,index1.2,val1,index2.1,index2.2,val2,index3.1,index3.2,val3,Class
13.858759738294594,5.501659680834129,68.04440631289081,17.254909998745205,8.787984893424282,47.319213002175246,19.598029697535896,5.7824913477723605,23.91093226407665,1
0.1,0.24,0.33337,0.1,0.24,0.469329,0.1,0.24,0.266772,0
0.1,0.48,0.277585,0.1,0.48,0.479347,0.1,0.48,0.250856,0
-0.24036080455885225,1.9182911783360401,0.08087695288922553,0.7164333956933572,0.665669745260101,0.927788409769996,0.5512458277789235,1.3762952539760225,0.4593326710044793,1
0.1,1.2,0.244978,0.1,1.2,0.525612,0.1,1.2,0.269267,0
0.1,1.8,0.011983,0.1,1.8,0.718181,0.1,1.8,0.431288,0
0.8212749223402953,-0.7900324734589845,1.675949040298842,1.3827963469127502,0.40027526890954107,2.701919623018552,0.051286662525657556,0.9445310265764304,1.7627290473011443,1
0.5,0.24,1.58134,0.5,0.24,2.3708,0.5,0.24,1.07853,0
0.5,0.48,1.53432,0.5,0.48,2.38155,0.5,0.48,1.05575,0
0.5,0.9,1.52558,0.5,0.9,2.34519,0.5,0.9,1.07894,0
0.5,1.2,1.47083,0.5,1.2,2.3437,0.5,1.2,1.093,0
0.5,1.8,1.24723,0.5,1.8,2.36987,0.5,1.8,1.27717,0
1.2,0.06,3.74896,1.2,0.06,5.6772,1.2,0.06,2.49213,0
1.2,0.24,3.78881,1.2,0.24,5.68693,1.2,0.24,2.53051,0
1.2,0.48,3.71652,1.2,0.48,5.65479,1.2,0.48,2.49108,0
1.2,0.9,3.6962,1.2,0.9,5.69527,1.2,0.9,2.51249,0
1.2,1.2,3.64991,1.2,1.2,5.67202,1.2,1.2,2.50467,0
1.398716986927876,1.3026742850143969,2.975156283708495,1.186115634829324,2.129786978703329,6.553867776556924,1.3514954283328644,2.30376570124427,1.8874745326179159,1
3.0,0.06,9.2684,3.0,0.06,14.1025,3.0,0.06,6.1865,0
18.53113409990826,7.624976096529245,46.388284904805516,16.95008847701089,7.289932051701713,48.77922102139728,19.131409198946344,9.192085954494946,32.040536693822915,1
3.0,0.48,9.2688,3.0,0.48,14.0868,3.0,0.48,6.15715,0
3.0,0.9,9.30979,3.0,0.9,14.2896,3.0,0.9,6.19435,0
3.0,1.2,9.19071,3.0,1.2,14.1135,3.0,1.2,6.17992,0
3.0,1.8,8.94935,3.0,1.8,14.0464,3.0,1.8,6.34771,0
4.0,0.06,12.6026,4.0,0.06,18.6951,4.0,0.06,8.19699,0
4.0,0.24,12.5105,4.0,0.24,18.6883,4.0,0.24,8.23735,0
4.0,0.48,12.3375,4.0,0.48,18.9963,4.0,0.48,8.17149,0
4.0,0.9,12.465,4.0,0.9,18.736,4.0,0.9,8.20701,0
4.0,1.2,12.3249,4.0,1.2,18.7061,4.0,1.2,8.24945,0
4.0,1.8,12.0975,4.0,1.8,18.791,4.0,1.8,8.41948,0
5.0,0.06,15.5352,5.0,0.06,23.6645,5.0,0.06,10.2503,0
3.0,0.06,6.89166,3.0,0.06,4.09744,3.0,0.06,0.014738,1
5.0,0.48,15.5634,5.0,0.48,23.2727,5.0,0.48,10.2301,0
5.0,0.9,15.454,5.0,0.9,23.4945,5.0,0.9,10.2659,0
3.0,0.48,9.43383,3.0,0.48,6.24574,3.0,0.48,0.023908,1
4.625921031350704,1.736535399964264,15.431791146362077,3.7058204182242758,1.8084598995833752,23.31823949370748,5.701181326725113,3.2713763230027184,10.227860482523143,1
0.1,0.06,0.335241,0.1,0.06,0.475221,0.1,0.06,0.287339,0
0.1,0.24,0.33337,0.1,0.24,0.469329,0.1,0.24,0.281311,0
0.1,0.48,0.277585,0.1,0.48,0.479347,0.1,0.48,0.33408,0
0.1,0.9,0.287249,0.1,0.9,0.483369,0.1,0.9,0.415525,0
0.1,1.2,0.244978,0.1,1.2,0.525612,0.1,1.2,0.600559,0
-0.28561464722550867,2.3628637146867835,0.41947672739813235,-0.33846729093726313,1.3489009565135284,1.1944383792979487,0.29159807560420387,2.179194356505572,0.05025376083054356,1
1.2235673992224223,0.39672943786361126,2.062847634314415,0.5235601359054619,-0.6396865230727506,1.3249214824269966,-0.2647038616158155,0.23988285208300977,1.4537648563488175,1
0.5,0.24,1.58134,0.5,0.24,2.3708,0.5,0.24,1.40889,0
0.5,1.8,1.62547,0.5,1.8,2.34012,0.5,1.8,0.026508,1
0.5,0.9,1.52558,0.5,0.9,2.34519,0.5,0.9,1.4023,0
0.4997954070508649,0.6869690845538037,1.6715629837922643,0.7395385277487261,0.6139134764867809,2.827714803598174,1.6694114707641223,1.617417868792331,1.3442529802244476,1
17.13953365059324,6.741874665906271,58.3549510884623,11.650439261707014,5.726893332712815,63.97886076196124,18.983622522965476,6.928775951707864,35.48710070427431,1
1.2,0.06,3.74896,1.2,0.06,5.6772,1.2,0.06,3.4621,0
17.905899632500656,5.879298506690683,51.46374297929958,14.701720796219796,6.504940946215687,51.792233845713554,17.314778902035464,6.927836523407869,43.682394436481516,1
10.178819399868454,5.807654796359921,63.14708611977214,15.760149006218114,5.697044383976042,46.00608051751988,17.251007518694394,6.2389205064733915,41.56986248323811,1
1.2,0.9,3.6962,1.2,0.9,5.69527,1.2,0.9,3.38537,0
1.2,1.2,3.64991,1.2,1.2,5.67202,1.2,1.2,3.36028,0
1.2,1.8,3.44354,1.2,1.8,5.62242,1.2,1.8,3.36135,0
3.1416124793053593,-0.41946413385730813,9.605472002559994,3.3581312482342645,-0.5675745336025788,13.369480899275564,2.999934156886531,0.9558911368066796,9.275711371099321,1
3.0,0.24,9.38517,3.0,0.24,14.1307,3.0,0.24,8.41728,0
3.0,0.48,9.2688,3.0,0.48,14.0868,3.0,0.48,8.38948,0
2.7304446696491755,0.5005505509534347,9.824029504595055,3.076596570279039,1.59119137284497,13.956321884383478,3.4370849359482496,2.3198114574039566,8.57981623356357,1
3.0,1.2,9.19071,3.0,1.2,14.1135,3.0,1.2,8.52544,0
4.0,0.06,12.4439,4.0,0.06,18.8674,4.0,0.06,8.16855,1
